addf_v1v20g01y2_0p75: prefix is None, Family is addf, Infix is v1v20g01y2, and Drive is 0p75. 
nd2_v20_3: prefix is None, Family is nd2, Infix is v20, and Drive is 3. 
nd2_v20_4: prefix is None, Family is nd2, Infix is v20, and Drive is 4. 
nd2_v20_5: prefix is None, Family is nd2, Infix is v20, and Drive is 5. 
nd2_v20_6: prefix is None, Family is nd2, Infix is v20, and Drive is 6. 
nd2_v20_8: prefix is None, Family is nd2, Infix is v20, and Drive is 8. 
nd2xb_v20g02_2: prefix is None, Family is nd2xb, Infix is v20g02, and Drive is 2. 
nd2xb_v20g02_4: prefix is None, Family is nd2xb, Infix is v20g02, and Drive is 4. 
nd3b_v20g01_1: prefix is None, Family is nd3b, Infix is v20g01, and Drive is 1. 
nd3_v20_1: prefix is None, Family is nd3, Infix is v20, and Drive is 1. 
nd3_v20_1p66: prefix is None, Family is nd3, Infix is v20, and Drive is 1p66. 
nd3_v20_2: prefix is None, Family is nd3, Infix is v20, and Drive is 2. 
nd3_v20_3: prefix is None, Family is nd3, Infix is v20, and Drive is 3. 
nd3_v20_4: prefix is None, Family is nd3, Infix is v20, and Drive is 4. 
nd3_v20_6: prefix is None, Family is nd3, Infix is v20, and Drive is 6. 
nd4b_cv20g02y2_2: prefix is None, Family is nd4b, Infix is cv20g02y2, and Drive is 2. 
nd4b_cv20g02y2_4: prefix is None, Family is nd4b, Infix is cv20g02y2, and Drive is 4. 
nd4_v20_2: prefix is None, Family is nd4, Infix is v20, and Drive is 2. 
nd4_v20_3: prefix is None, Family is nd4, Infix is v20, and Drive is 3. 
nd4_v20_4: prefix is None, Family is nd4, Infix is v20, and Drive is 4. 
nd4_v20y2_7: prefix is None, Family is nd4, Infix is v20y2, and Drive is 7. 
nd4_v20_1: prefix is None, Family is nd4, Infix is v20, and Drive is 1. 
nr2b_v1v20g01p5_3: prefix is None, Family is nr2b, Infix is v1v20g01p5, and Drive is 3. 
nr2b_v1v20g01_1: prefix is None, Family is nr2b, Infix is v1v20g01, and Drive is 1. 
nr2_skfv20_4: prefix is None, Family is nr2, Infix is skfv20, and Drive is 4. 
nr2_skrv20_4: prefix is None, Family is nr2, Infix is skrv20, and Drive is 4. 
nr2_v20_1: prefix is None, Family is nr2, Infix is v20, and Drive is 1. 
nr2_v20_2: prefix is None, Family is nr2, Infix is v20, and Drive is 2. 
nr2_v20_3: prefix is None, Family is nr2, Infix is v20, and Drive is 3. 
nr2_v20_4: prefix is None, Family is nr2, Infix is v20, and Drive is 4. 
nr2_v20_6: prefix is None, Family is nr2, Infix is v20, and Drive is 6. 
nr2xb_v20g01_1: prefix is None, Family is nr2xb, Infix is v20g01, and Drive is 1. 
nr2xb_v20g02_2: prefix is None, Family is nr2xb, Infix is v20g02, and Drive is 2. 
nr3b_v20_4: prefix is None, Family is nr3b, Infix is v20, and Drive is 4. 
nr3_v20_1: prefix is None, Family is nr3, Infix is v20, and Drive is 1. 
nr3_v20_2: prefix is None, Family is nr3, Infix is v20, and Drive is 2. 
nr3_v20_3: prefix is None, Family is nr3, Infix is v20, and Drive is 3. 
nr4b_cv20g02y2_2: prefix is None, Family is nr4b, Infix is cv20g02y2, and Drive is 2. 
nr4_v20_2: prefix is None, Family is nr4, Infix is v20, and Drive is 2. 
nr4_v20_3: prefix is None, Family is nr4, Infix is v20, and Drive is 3. 
nr4_v20_4: prefix is None, Family is nr4, Infix is v20, and Drive is 4. 
nr4_v20_5: prefix is None, Family is nr4, Infix is v20, and Drive is 5. 
nr4_v20_6: prefix is None, Family is nr4, Infix is v20, and Drive is 6. 
nr4_v20y2_8: prefix is None, Family is nr4, Infix is v20y2, and Drive is 8. 
nr4_v20_1: prefix is None, Family is nr4, Infix is v20, and Drive is 1. 
oa211_v20g02_2: prefix is None, Family is oa211, Infix is v20g02, and Drive is 2. 
oa211_v20g02y2_4: prefix is None, Family is oa211, Infix is v20g02y2, and Drive is 4. 
oa21b_cv20g02_2: prefix is None, Family is oa21b, Infix is cv20g02, and Drive is 2. 
oa21_v20g02_2: prefix is None, Family is oa21, Infix is v20g02, and Drive is 2. 
oa2bb2_cv20g02_2: prefix is None, Family is oa2bb2, Infix is cv20g02, and Drive is 2. 
oa31_v20g02_2: prefix is None, Family is oa31, Infix is v20g02, and Drive is 2. 
oai2111_v20_1: prefix is None, Family is oai2111, Infix is v20, and Drive is 1. 
oai211_cv20_2: prefix is None, Family is oai211, Infix is cv20, and Drive is 2. 
oai211_cv20y2_4: prefix is None, Family is oai211, Infix is cv20y2, and Drive is 4. 
oai211_v20_1: prefix is None, Family is oai211, Infix is v20, and Drive is 1. 
oai21_cv20_2: prefix is None, Family is oai21, Infix is cv20, and Drive is 2. 
oai21_v20_1: prefix is None, Family is oai21, Infix is v20, and Drive is 1. 
oai21_v20_3: prefix is None, Family is oai21, Infix is v20, and Drive is 3. 
oai21_v20_4: prefix is None, Family is oai21, Infix is v20, and Drive is 4. 
oai221_v20_2: prefix is None, Family is oai221, Infix is v20, and Drive is 2. 
oai221_v20_1: prefix is None, Family is oai221, Infix is v20, and Drive is 1. 
oai222_v20_1: prefix is None, Family is oai222, Infix is v20, and Drive is 1. 
oai222_v20_2: prefix is None, Family is oai222, Infix is v20, and Drive is 2. 
oai222_v20y2_4: prefix is None, Family is oai222, Infix is v20y2, and Drive is 4. 
oai22_cv20y2_3: prefix is None, Family is oai22, Infix is cv20y2, and Drive is 3. 
oai22_v20_1: prefix is None, Family is oai22, Infix is v20, and Drive is 1. 
oai22_v20y2_2: prefix is None, Family is oai22, Infix is v20y2, and Drive is 2. 
oai2bb2_v20g01_1: prefix is None, Family is oai2bb2, Infix is v20g01, and Drive is 1. 
oai2bb2_v20g02_2: prefix is None, Family is oai2bb2, Infix is v20g02, and Drive is 2. 
oai31_v20_1: prefix is None, Family is oai31, Infix is v20, and Drive is 1. 
oai31_v20_2: prefix is None, Family is oai31, Infix is v20, and Drive is 2. 
oai31_v20_4: prefix is None, Family is oai31, Infix is v20, and Drive is 4. 
oai32_v20_1: prefix is None, Family is oai32, Infix is v20, and Drive is 1. 
oao211_v20g02_2: prefix is None, Family is oao211, Infix is v20g02, and Drive is 2. 
oaoi211_cv20_2: prefix is None, Family is oaoi211, Infix is cv20, and Drive is 2. 
oaoi211_v20_1: prefix is None, Family is oaoi211, Infix is v20, and Drive is 1. 
oaoi211_v20v1_1: prefix is None, Family is oaoi211, Infix is v20v1, and Drive is 1. 
or2_v20g01_1: prefix is None, Family is or2, Infix is v20g01, and Drive is 1. 
or2_v20g02_2: prefix is None, Family is or2, Infix is v20g02, and Drive is 2. 
or2_v20g02_4: prefix is None, Family is or2, Infix is v20g02, and Drive is 4. 
or2_v20g02_6: prefix is None, Family is or2, Infix is v20g02, and Drive is 6. 
or2_v20g02_8: prefix is None, Family is or2, Infix is v20g02, and Drive is 8. 
or2_v20g03_3: prefix is None, Family is or2, Infix is v20g03, and Drive is 3. 
or2_v20g04_4: prefix is None, Family is or2, Infix is v20g04, and Drive is 4. 
or3b_v20g02_4: prefix is None, Family is or3b, Infix is v20g02, and Drive is 4. 
or3b_v20g01_1: prefix is None, Family is or3b, Infix is v20g01, and Drive is 1. 
or3b_v20g02_2: prefix is None, Family is or3b, Infix is v20g02, and Drive is 2. 
or3_v20g02_2: prefix is None, Family is or3, Infix is v20g02, and Drive is 2. 
or3_v20g02_4: prefix is None, Family is or3, Infix is v20g02, and Drive is 4. 
or4b_cv20g02_4: prefix is None, Family is or4b, Infix is cv20g02, and Drive is 4. 
or4b_v20g02_2: prefix is None, Family is or4b, Infix is v20g02, and Drive is 2. 
tie0_1: prefix is None, Family is tie0, Infix is None, and Drive is 1. 
tie0_v1_2: prefix is None, Family is tie0, Infix is v1, and Drive is 2. 
tie1_1: prefix is None, Family is tie1, Infix is None, and Drive is 1. 
tie1_v1_2: prefix is None, Family is tie1, Infix is v1, and Drive is 2. 
tiedin_v1_4: prefix is None, Family is tiedin, Infix is v1, and Drive is 4. 
ao22_cv20g01p75y2_4: prefix is None, Family is ao22, Infix is cv20g01p75y2, and Drive is 4. 
ao22_cv20g02p66y2_6: prefix is None, Family is ao22, Infix is cv20g02p66y2, and Drive is 6. 
aoi22_cv20y2_3: prefix is None, Family is aoi22, Infix is cv20y2, and Drive is 3. 
aoi22_cv20y2_4: prefix is None, Family is aoi22, Infix is cv20y2, and Drive is 4. 
aoi22_cv20y2_6: prefix is None, Family is aoi22, Infix is cv20y2, and Drive is 6. 
del_r2v1_1: prefix is None, Family is del, Infix is r2v1, and Drive is 1. 
del_r2v1_2: prefix is None, Family is del, Infix is r2v1, and Drive is 2. 
del_r2v2_1: prefix is None, Family is del, Infix is r2v2, and Drive is 1. 
del_r2v3_1: prefix is None, Family is del, Infix is r2v3, and Drive is 1. 
fsdpqo_hty2_1: prefix is None, Family is fsdpqo, Infix is hty2, and Drive is 1. 
fsdprbqo_hty2_1: prefix is None, Family is fsdprbqo, Infix is hty2, and Drive is 1. 
fsdprbqo_hty2_2: prefix is None, Family is fsdprbqo, Infix is hty2, and Drive is 2. 
ldnq_v2y2_1: prefix is None, Family is ldnq, Infix is v2y2, and Drive is 1. 
ldpq_v2y2_1: prefix is None, Family is ldpq, Infix is v2y2, and Drive is 1. 
mux2an2_v30g01p33y2_1: prefix is None, Family is mux2an2, Infix is v30g01p33y2, and Drive is 1. 
muxi2_v30g01_0p75: prefix is None, Family is muxi2, Infix is v30g01, and Drive is 0p75. 
nr3b_v30g02_2: prefix is None, Family is nr3b, Infix is v30g02, and Drive is 2. 
muxi2_v30g01y2_1: prefix is None, Family is muxi2, Infix is v30g01y2, and Drive is 1. 
muxi2_v30g02y2_2: prefix is None, Family is muxi2, Infix is v30g02y2, and Drive is 2. 
nr3b_v30g01_1: prefix is None, Family is nr3b, Infix is v30g01, and Drive is 1. 
nr3b_v30g03_3: prefix is None, Family is nr3b, Infix is v30g03, and Drive is 3. 
oai22_cv20y2_4: prefix is None, Family is oai22, Infix is cv20y2, and Drive is 4. 
en2_v20g02p66y2_2: prefix is None, Family is en2, Infix is v20g02p66y2, and Drive is 2. 
en2_v20v2g01_0p75: prefix is None, Family is en2, Infix is v20v2g01, and Drive is 0p75. 
fsdphqo_f1y2_2: prefix is None, Family is fsdphqo, Infix is f1y2, and Drive is 2. 
addabcn2_v20y2_0p88: prefix is None, Family is addabcn2, Infix is v20y2, and Drive is 0p88. 
mux2_v20g02p25y2_2: prefix is None, Family is mux2, Infix is v20g02p25y2, and Drive is 2. 
fill_1: prefix is None, Family is fill, Infix is None, and Drive is 1. 
fill_2: prefix is None, Family is fill, Infix is None, and Drive is 2. 
fill_3: prefix is None, Family is fill, Infix is None, and Drive is 3. 
fill_blcy2_5: prefix is None, Family is fill, Infix is blcy2, and Drive is 5. 
fill_blincy2_5: prefix is None, Family is fill, Infix is blincy2, and Drive is 5. 
fill_brcy2_5: prefix is None, Family is fill, Infix is brcy2, and Drive is 5. 
fill_brincy2_5: prefix is None, Family is fill, Infix is brincy2, and Drive is 5. 
fill_by2_1: prefix is None, Family is fill, Infix is by2, and Drive is 1. 
fill_l_5: prefix is None, Family is fill, Infix is l, and Drive is 5. 
fill_r_5: prefix is None, Family is fill, Infix is r, and Drive is 5. 
fill_t_1: prefix is None, Family is fill, Infix is t, and Drive is 1. 
fill_tlc_5: prefix is None, Family is fill, Infix is tlc, and Drive is 5. 
fill_tlinc_5: prefix is None, Family is fill, Infix is tlinc, and Drive is 5. 
fill_trc_5: prefix is None, Family is fill, Infix is trc, and Drive is 5. 
fill_trinc_5: prefix is None, Family is fill, Infix is trinc, and Drive is 5. 
fill_w3_12: prefix is None, Family is fill, Infix is w3, and Drive is 12. 
USBSVT08_ADDF_V1Y2_0P75: prefix is USBSVT08, Family is ADDF, Infix is V1Y2, and Drive is 0P75. 
USBSVT08_ADDH_Y2_0P75: prefix is USBSVT08, Family is ADDH, Infix is Y2, and Drive is 0P75. 
USBSVT08_AN2_0P75: prefix is USBSVT08, Family is AN2, Infix is None, and Drive is 0P75. 
USBSVT08_AN3B_0P75: prefix is USBSVT08, Family is AN3B, Infix is None, and Drive is 0P75. 
USBSVT08_AN3_0P75: prefix is USBSVT08, Family is AN3, Infix is None, and Drive is 0P75. 
USBSVT08_AN4B_1: prefix is USBSVT08, Family is AN4B, Infix is None, and Drive is 1. 
USBSVT08_AN4_0P75: prefix is USBSVT08, Family is AN4, Infix is None, and Drive is 0P75. 
USBSVT08_AN4_1: prefix is USBSVT08, Family is AN4, Infix is None, and Drive is 1. 
USBSVT08_AO211_1: prefix is USBSVT08, Family is AO211, Infix is None, and Drive is 1. 
USBSVT08_AO21B_0P75: prefix is USBSVT08, Family is AO21B, Infix is None, and Drive is 0P75. 
USBSVT08_AO21B_1: prefix is USBSVT08, Family is AO21B, Infix is None, and Drive is 1. 
USBSVT08_AO21_0P75: prefix is USBSVT08, Family is AO21, Infix is None, and Drive is 0P75. 
USBSVT08_AO21_1: prefix is USBSVT08, Family is AO21, Infix is None, and Drive is 1. 
USBSVT08_AO222_0P75: prefix is USBSVT08, Family is AO222, Infix is None, and Drive is 0P75. 
USBSVT08_AO222_UP_1: prefix is USBSVT08, Family is AO222, Infix is UP, and Drive is 1. 
USBSVT08_AO22_1: prefix is USBSVT08, Family is AO22, Infix is None, and Drive is 1. 
USBSVT08_AO22_2: prefix is USBSVT08, Family is AO22, Infix is None, and Drive is 2. 
USBSVT08_AO22_MP_3: prefix is USBSVT08, Family is AO22, Infix is MP, and Drive is 3. 
USBSVT08_AO22_EN_4: prefix is USBSVT08, Family is AO22, Infix is EN, and Drive is 4. 
USBSVT08_AO22_0P75: prefix is USBSVT08, Family is AO22, Infix is None, and Drive is 0P75. 
USBSVT08_AO2BB2_U_0P75: prefix is USBSVT08, Family is AO2BB2, Infix is U, and Drive is 0P75. 
USBSVT08_AO31_0P75: prefix is USBSVT08, Family is AO31, Infix is None, and Drive is 0P75. 
USBSVT08_AO31_1: prefix is USBSVT08, Family is AO31, Infix is None, and Drive is 1. 
USBSVT08_AO32_0P75: prefix is USBSVT08, Family is AO32, Infix is None, and Drive is 0P75. 
USBSVT08_AO32_1: prefix is USBSVT08, Family is AO32, Infix is None, and Drive is 1. 
USBSVT08_AOA211_1: prefix is USBSVT08, Family is AOA211, Infix is None, and Drive is 1. 
USBSVT08_AOAI211_0P75: prefix is USBSVT08, Family is AOAI211, Infix is None, and Drive is 0P75. 
USBSVT08_AOI211_0P75: prefix is USBSVT08, Family is AOI211, Infix is None, and Drive is 0P75. 
USBSVT08_AOI211_1P5: prefix is USBSVT08, Family is AOI211, Infix is None, and Drive is 1P5. 
USBSVT08_AOI21B_0P75: prefix is USBSVT08, Family is AOI21B, Infix is None, and Drive is 0P75. 
USBSVT08_AOI21_1P5: prefix is USBSVT08, Family is AOI21, Infix is None, and Drive is 1P5. 
USBSVT08_AOI21_0P75: prefix is USBSVT08, Family is AOI21, Infix is None, and Drive is 0P75. 
USBSVT08_AOI221_0P75: prefix is USBSVT08, Family is AOI221, Infix is None, and Drive is 0P75. 
USBSVT08_AOI22_1P5: prefix is USBSVT08, Family is AOI22, Infix is None, and Drive is 1P5. 
USBSVT08_AOI22_0P75: prefix is USBSVT08, Family is AOI22, Infix is None, and Drive is 0P75. 
USBSVT08_AOI2BB2_1: prefix is USBSVT08, Family is AOI2BB2, Infix is None, and Drive is 1. 
USBSVT08_AOI31_0P75: prefix is USBSVT08, Family is AOI31, Infix is None, and Drive is 0P75. 
USBSVT08_AOI32_0P75: prefix is USBSVT08, Family is AOI32, Infix is None, and Drive is 0P75. 
USBSVT08_BUF_0P75: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 0P75. 
USBSVT08_BUF_1P75: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 1P75. 
USBSVT08_BUF_2P75: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 2P75. 
USBSVT08_BUF_4P88: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 4P88. 
USBSVT08_BUF_M_2P25: prefix is USBSVT08, Family is BUF, Infix is M, and Drive is 2P25. 
USBSVT08_EN2_F_0P75: prefix is USBSVT08, Family is EN2, Infix is F, and Drive is 0P75. 
USBSVT08_EN2_Y2_1: prefix is USBSVT08, Family is EN2, Infix is Y2, and Drive is 1. 
USBSVT08_EN2_FY2_1: prefix is USBSVT08, Family is EN2, Infix is FY2, and Drive is 1. 
USBSVT08_EN3_Y2_1: prefix is USBSVT08, Family is EN3, Infix is Y2, and Drive is 1. 
USBSVT08_EO2_V2_0P75: prefix is USBSVT08, Family is EO2, Infix is V2, and Drive is 0P75. 
USBSVT08_EO3_Y2_1: prefix is USBSVT08, Family is EO3, Infix is Y2, and Drive is 1. 
USBSVT08_INV_0P75: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 0P75. 
USBSVT08_INV_1P25: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 1P25. 
USBSVT08_INV_1P75: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 1P75. 
USBSVT08_INV_2P66: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 2P66. 
USBSVT08_INV_3P5: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 3P5. 
USBSVT08_MAJ3_Y2_1P75: prefix is USBSVT08, Family is MAJ3, Infix is Y2, and Drive is 1P75. 
USBSVT08_MAJI3_Y2_0P75: prefix is USBSVT08, Family is MAJI3, Infix is Y2, and Drive is 0P75. 
USBSVT08_MUX2_0P75: prefix is USBSVT08, Family is MUX2, Infix is None, and Drive is 0P75. 
USBSVT08_MUX3_V1Y2_0P75: prefix is USBSVT08, Family is MUX3, Infix is V1Y2, and Drive is 0P75. 
USBSVT08_MUX3_Y2_1: prefix is USBSVT08, Family is MUX3, Infix is Y2, and Drive is 1. 
USBSVT08_MUX4_V1Y2_1: prefix is USBSVT08, Family is MUX4, Infix is V1Y2, and Drive is 1. 
USBSVT08_MUX4_V1Y2_2: prefix is USBSVT08, Family is MUX4, Infix is V1Y2, and Drive is 2. 
USBSVT08_ND2B_V1_4: prefix is USBSVT08, Family is ND2B, Infix is V1, and Drive is 4. 
USBSVT08_ND2B_4: prefix is USBSVT08, Family is ND2B, Infix is None, and Drive is 4. 
USBSVT08_ND2B_6: prefix is USBSVT08, Family is ND2B, Infix is None, and Drive is 6. 
USBSVT08_ND2B_0P75: prefix is USBSVT08, Family is ND2B, Infix is None, and Drive is 0P75. 
USBSVT08_ND2B_M2_4: prefix is USBSVT08, Family is ND2B, Infix is M2, and Drive is 4. 
USBSVT08_ND2B_M2FS_4: prefix is USBSVT08, Family is ND2B, Infix is M2FS, and Drive is 4. 
USBSVT08_ND2_0P75: prefix is USBSVT08, Family is ND2, Infix is None, and Drive is 0P75. 
USBSVT08_ND2_1P5: prefix is USBSVT08, Family is ND2, Infix is None, and Drive is 1P5. 
USBSVT08_ND3B_2: prefix is USBSVT08, Family is ND3B, Infix is None, and Drive is 2. 
USBSVT08_ND3B_4: prefix is USBSVT08, Family is ND3B, Infix is None, and Drive is 4. 
USBSVT08_ND3B_0P75: prefix is USBSVT08, Family is ND3B, Infix is None, and Drive is 0P75. 
USBSVT08_ND3B_Y2_8: prefix is USBSVT08, Family is ND3B, Infix is Y2, and Drive is 8. 
USBSVT08_ND3_0P75: prefix is USBSVT08, Family is ND3, Infix is None, and Drive is 0P75. 
USBSVT08_ND3_Y2_8: prefix is USBSVT08, Family is ND3, Infix is Y2, and Drive is 8. 
USBSVT08_ND4B_1: prefix is USBSVT08, Family is ND4B, Infix is None, and Drive is 1. 
USBSVT08_ND4_1P5: prefix is USBSVT08, Family is ND4, Infix is None, and Drive is 1P5. 
USBSVT08_ND4_0P75: prefix is USBSVT08, Family is ND4, Infix is None, and Drive is 0P75. 
USBSVT08_NR2B_V1_4: prefix is USBSVT08, Family is NR2B, Infix is V1, and Drive is 4. 
USBSVT08_NR2B_4: prefix is USBSVT08, Family is NR2B, Infix is None, and Drive is 4. 
USBSVT08_NR2B_8: prefix is USBSVT08, Family is NR2B, Infix is None, and Drive is 8. 
USBSVT08_NR2B_0P75: prefix is USBSVT08, Family is NR2B, Infix is None, and Drive is 0P75. 
USBSVT08_NR2B_N_1P13: prefix is USBSVT08, Family is NR2B, Infix is N, and Drive is 1P13. 
USBSVT08_NR2B_3: prefix is USBSVT08, Family is NR2B, Infix is None, and Drive is 3. 
USBSVT08_NR2B_M2_4: prefix is USBSVT08, Family is NR2B, Infix is M2, and Drive is 4. 
USBSVT08_NR2B_M2FS_4: prefix is USBSVT08, Family is NR2B, Infix is M2FS, and Drive is 4. 
USBSVT08_NR2_0P75: prefix is USBSVT08, Family is NR2, Infix is None, and Drive is 0P75. 
USBSVT08_NR3B_0P75: prefix is USBSVT08, Family is NR3B, Infix is None, and Drive is 0P75. 
USBSVT08_NR3_0P75: prefix is USBSVT08, Family is NR3, Infix is None, and Drive is 0P75. 
USBSVT08_NR4B_1: prefix is USBSVT08, Family is NR4B, Infix is None, and Drive is 1. 
USBSVT08_NR4_1P5: prefix is USBSVT08, Family is NR4, Infix is None, and Drive is 1P5. 
USBSVT08_NR4_0P75: prefix is USBSVT08, Family is NR4, Infix is None, and Drive is 0P75. 
USBSVT08_OA211_1: prefix is USBSVT08, Family is OA211, Infix is None, and Drive is 1. 
USBSVT08_OA21B_0P75: prefix is USBSVT08, Family is OA21B, Infix is None, and Drive is 0P75. 
USBSVT08_OA21B_1: prefix is USBSVT08, Family is OA21B, Infix is None, and Drive is 1. 
USBSVT08_OA21_0P75: prefix is USBSVT08, Family is OA21, Infix is None, and Drive is 0P75. 
USBSVT08_OA21_1: prefix is USBSVT08, Family is OA21, Infix is None, and Drive is 1. 
USBSVT08_OA22_1: prefix is USBSVT08, Family is OA22, Infix is None, and Drive is 1. 
USBSVT08_OA22_2: prefix is USBSVT08, Family is OA22, Infix is None, and Drive is 2. 
USBSVT08_OA31_1: prefix is USBSVT08, Family is OA31, Infix is None, and Drive is 1. 
USBSVT08_OAI2111_0P88: prefix is USBSVT08, Family is OAI2111, Infix is None, and Drive is 0P88. 
USBSVT08_OAI211_1P5: prefix is USBSVT08, Family is OAI211, Infix is None, and Drive is 1P5. 
USBSVT08_OAI211_0P75: prefix is USBSVT08, Family is OAI211, Infix is None, and Drive is 0P75. 
USBSVT08_OAI21_1P5: prefix is USBSVT08, Family is OAI21, Infix is None, and Drive is 1P5. 
USBSVT08_OAI21_0P75: prefix is USBSVT08, Family is OAI21, Infix is None, and Drive is 0P75. 
USBSVT08_OAI221_1P88: prefix is USBSVT08, Family is OAI221, Infix is None, and Drive is 1P88. 
USBSVT08_OAI221_V1_0P75: prefix is USBSVT08, Family is OAI221, Infix is V1, and Drive is 0P75. 
USBSVT08_OAI221_V1_0P88: prefix is USBSVT08, Family is OAI221, Infix is V1, and Drive is 0P88. 
USBSVT08_OAI221_0P75: prefix is USBSVT08, Family is OAI221, Infix is None, and Drive is 0P75. 
USBSVT08_OAI222_0P75: prefix is USBSVT08, Family is OAI222, Infix is None, and Drive is 0P75. 
USBSVT08_OAI22_0P75: prefix is USBSVT08, Family is OAI22, Infix is None, and Drive is 0P75. 
USBSVT08_OAI31_0P75: prefix is USBSVT08, Family is OAI31, Infix is None, and Drive is 0P75. 
USBSVT08_OAI32_0P75: prefix is USBSVT08, Family is OAI32, Infix is None, and Drive is 0P75. 
USBSVT08_OAO211_1: prefix is USBSVT08, Family is OAO211, Infix is None, and Drive is 1. 
USBSVT08_OR2_0P75: prefix is USBSVT08, Family is OR2, Infix is None, and Drive is 0P75. 
USBSVT08_OR2_UP_1: prefix is USBSVT08, Family is OR2, Infix is UP, and Drive is 1. 
USBSVT08_OR3_1: prefix is USBSVT08, Family is OR3, Infix is None, and Drive is 1. 
USBSVT08_OR4B_1: prefix is USBSVT08, Family is OR4B, Infix is None, and Drive is 1. 
USBSVT08_ADDF_V1Y2_1: prefix is USBSVT08, Family is ADDF, Infix is V1Y2, and Drive is 1. 
USBSVT08_ADDH_Y2_1: prefix is USBSVT08, Family is ADDH, Infix is Y2, and Drive is 1. 
USBSVT08_AN2_1: prefix is USBSVT08, Family is AN2, Infix is None, and Drive is 1. 
USBSVT08_AN2_N_3: prefix is USBSVT08, Family is AN2, Infix is N, and Drive is 3. 
USBSVT08_AN2_2: prefix is USBSVT08, Family is AN2, Infix is None, and Drive is 2. 
USBSVT08_AN2_4: prefix is USBSVT08, Family is AN2, Infix is None, and Drive is 4. 
USBSVT08_AN2_6: prefix is USBSVT08, Family is AN2, Infix is None, and Drive is 6. 
USBSVT08_AN2_8: prefix is USBSVT08, Family is AN2, Infix is None, and Drive is 8. 
USBSVT08_AN2_M_3: prefix is USBSVT08, Family is AN2, Infix is M, and Drive is 3. 
USBSVT08_AN3B_2: prefix is USBSVT08, Family is AN3B, Infix is None, and Drive is 2. 
USBSVT08_AN3B_4: prefix is USBSVT08, Family is AN3B, Infix is None, and Drive is 4. 
USBSVT08_AN3B_8: prefix is USBSVT08, Family is AN3B, Infix is None, and Drive is 8. 
USBSVT08_AN3B_1: prefix is USBSVT08, Family is AN3B, Infix is None, and Drive is 1. 
USBSVT08_AN3B_3: prefix is USBSVT08, Family is AN3B, Infix is None, and Drive is 3. 
USBSVT08_AN3_1: prefix is USBSVT08, Family is AN3, Infix is None, and Drive is 1. 
USBSVT08_AN4B_4: prefix is USBSVT08, Family is AN4B, Infix is None, and Drive is 4. 
USBSVT08_AN4B_Y2_8: prefix is USBSVT08, Family is AN4B, Infix is Y2, and Drive is 8. 
USBSVT08_AN4B_2: prefix is USBSVT08, Family is AN4B, Infix is None, and Drive is 2. 
USBSVT08_AN4_2: prefix is USBSVT08, Family is AN4, Infix is None, and Drive is 2. 
USBSVT08_AO211_2: prefix is USBSVT08, Family is AO211, Infix is None, and Drive is 2. 
USBSVT08_AO21B_2: prefix is USBSVT08, Family is AO21B, Infix is None, and Drive is 2. 
USBSVT08_AO21B_4: prefix is USBSVT08, Family is AO21B, Infix is None, and Drive is 4. 
USBSVT08_AO21_Y2_4: prefix is USBSVT08, Family is AO21, Infix is Y2, and Drive is 4. 
USBSVT08_AO21_Y2_8: prefix is USBSVT08, Family is AO21, Infix is Y2, and Drive is 8. 
USBSVT08_AO21_2: prefix is USBSVT08, Family is AO21, Infix is None, and Drive is 2. 
USBSVT08_AO222_1: prefix is USBSVT08, Family is AO222, Infix is None, and Drive is 1. 
USBSVT08_AO222_2: prefix is USBSVT08, Family is AO222, Infix is None, and Drive is 2. 
USBSVT08_AO2BB2_1: prefix is USBSVT08, Family is AO2BB2, Infix is None, and Drive is 1. 
USBSVT08_AO31_2: prefix is USBSVT08, Family is AO31, Infix is None, and Drive is 2. 
USBSVT08_AO32_2: prefix is USBSVT08, Family is AO32, Infix is None, and Drive is 2. 
USBSVT08_AOA211_2: prefix is USBSVT08, Family is AOA211, Infix is None, and Drive is 2. 
USBSVT08_AOAI211_2: prefix is USBSVT08, Family is AOAI211, Infix is None, and Drive is 2. 
USBSVT08_AOAI211_1: prefix is USBSVT08, Family is AOAI211, Infix is None, and Drive is 1. 
USBSVT08_AOAI211_3: prefix is USBSVT08, Family is AOAI211, Infix is None, and Drive is 3. 
USBSVT08_AOAI211_4: prefix is USBSVT08, Family is AOAI211, Infix is None, and Drive is 4. 
USBSVT08_AOI211_2: prefix is USBSVT08, Family is AOI211, Infix is None, and Drive is 2. 
USBSVT08_AOI211_Y2_4: prefix is USBSVT08, Family is AOI211, Infix is Y2, and Drive is 4. 
USBSVT08_AOI211_1: prefix is USBSVT08, Family is AOI211, Infix is None, and Drive is 1. 
USBSVT08_AOI211_3: prefix is USBSVT08, Family is AOI211, Infix is None, and Drive is 3. 
